# sf_smoke baseline — /mnt/data/SteamLibrary/steamapps/common/Starfield/Data/ShatteredSpace.esm (variant=Tes5Plus game=Starfield hedr=0.9600)
# columns: scope	fourcc	grup_count	bytes_total	immediate_records	handled	byte_error
top	WRLD	1	401097113	1	1	0
top	CELL	1	56541998	0	1	0
top	NAVI	1	26117786	1	1	0
top	QUST	1	6459506	1	1	0
top	LMSW	1	1726371	2610	0	0
top	RFGP	1	1406101	27660	0	0
top	EFSQ	1	1316390	162	0	0
top	NPC_	1	974561	679	1	0
top	GBFM	1	677579	24	0	0
top	SFTR	1	512001	8	0	0
top	STAT	1	430295	1291	1	0
top	PKIN	1	327910	1971	1	0
top	PACK	1	324615	568	1	0
top	LCTN	1	252170	188	0	0
top	ACTI	1	244222	316	1	0
top	IMGS	1	241232	40	1	0
top	LAYR	1	235959	2555	0	0
top	IPCT	1	180894	241	1	0
top	MSTT	1	139375	164	1	0
top	LIGH	1	124123	97	1	0
top	PNDT	1	124051	11	0	0
top	BOOK	1	122207	202	1	0
top	IMAD	1	114953	17	1	0
top	STDT	1	99671	1	0	0
top	FURN	1	87738	83	1	0
top	TERM	1	87713	76	1	0
top	LCRT	1	86969	842	0	0
top	LVLI	1	86593	363	1	0
top	EXPL	1	64140	54	1	0
top	OMOD	1	59251	219	0	0
top	AFFE	1	57584	132	0	0
top	ARMO	1	55793	87	1	0
top	CONT	1	55104	69	1	0
top	WEAP	1	52518	27	1	0
top	AVMD	1	50378	55	0	0
top	ASPC	1	45846	200	1	0
top	KYWD	1	44695	456	0	0
top	TMLM	1	43848	122	0	0
top	SOUN	1	43737	252	1	0
top	FFKW	1	39216	143	0	0
top	BIOM	1	33367	3	0	0
top	RACE	1	31086	5	1	0
top	COBJ	1	30027	122	1	0
top	IPDS	1	28916	35	1	0
top	SFBK	1	28640	47	0	0
top	IDLE	1	28327	94	1	0
top	DOOR	1	27329	30	1	0
top	ARTO	1	24512	24	0	0
top	PROJ	1	22281	15	1	0
top	ARMA	1	20027	41	1	0
top	MISC	1	19302	46	1	0
top	CLDF	1	18143	5	0	0
top	MESG	1	17635	138	1	0
top	WTHS	1	17007	6	0	0
