# sf_smoke baseline — /mnt/data/SteamLibrary/steamapps/common/Starfield/Data/Starfield.esm (variant=Tes5Plus game=Starfield hedr=0.9600)
# columns: scope	fourcc	grup_count	bytes_total	immediate_records	handled	byte_error
top	WRLD	1	863580438	2	1	0
top	CELL	1	253506539	0	1	0
top	SFTR	1	90641893	1505	0	0
top	NAVI	1	53882382	1	1	0
top	QUST	1	45528975	1	1	0
top	GBFM	1	36136218	3141	0	0
top	PNDT	1	25787085	1765	0	0
top	STDT	1	11970778	123	0	0
top	STAT	1	8075099	20607	1	0
top	LMSW	1	7967056	12966	0	0
top	NPC_	1	6309275	7131	1	0
top	BIOM	1	5275505	431	0	0
top	EFSQ	1	4557891	484	0	0
top	RFGP	1	4291296	80584	0	0
top	PKIN	1	3420781	11281	1	0
top	AVMD	1	3315429	6154	0	0
top	PACK	1	2227794	3548	1	0
top	LCTN	1	2223223	6017	0	0
top	LVLI	1	1341495	5556	1	0
top	IMGS	1	1341109	232	1	0
top	SFBK	1	1268436	1753	0	0
top	FURN	1	1228246	899	1	0
top	IMAD	1	1135321	190	1	0
top	ATMO	1	1123892	594	0	0
top	SFPT	1	890322	258	0	0
top	BOOK	1	885324	992	1	0
top	MSTT	1	876355	1771	1	0
top	LIGH	1	844859	1575	1	0
top	ACTI	1	754035	1463	1	0
top	COBJ	1	732209	3009	1	0
top	IPCT	1	670911	1088	1	0
top	OMOD	1	638443	2682	0	0
top	KYWD	1	577334	5931	0	0
top	WEAP	1	565269	406	1	0
top	LAYR	1	550488	6348	0	0
top	ARMA	1	527270	1106	1	0
top	MISC	1	520434	1319	1	0
top	ARMO	1	510136	1017	1	0
top	WTHS	1	502161	181	0	0
top	AFFE	1	501216	1360	0	0
top	CONT	1	501016	707	1	0
top	PROJ	1	486682	265	1	0
top	PERK	1	440435	502	1	0
top	TERM	1	419804	368	1	0
top	IPDS	1	404759	274	1	0
top	EXPL	1	360882	273	1	0
top	TMLM	1	349698	700	0	0
top	NOCM	1	344961	1	0	0
top	LCRT	1	288472	3053	0	0
top	ALCH	1	280824	353	1	0
top	DOOR	1	260746	339	1	0
top	MGEF	1	249122	853	1	0
top	SPEL	1	233706	584	1	0
top	STMP	1	222756	655	0	0
top	IDLE	1	219880	1158	1	0
top	PCCN	1	217485	1805	0	0
top	MRPH	1	196422	998	0	0
top	MTPT	1	195922	877	0	0
top	GLOB	1	188404	2677	1	0
top	FLST	1	180327	1142	1	0
top	FLOR	1	165473	300	1	0
top	RACE	1	164444	31	1	0
top	CNDF	1	160273	899	0	0
top	GMST	1	157032	2311	1	0
top	ARTO	1	139398	157	0	0
top	CSTY	1	134274	161	1	0
top	MESG	1	132294	1149	1	0
top	AVIF	1	125217	1107	1	0
top	FACT	1	121584	812	1	0
top	KSSM	1	117617	500	0	0
top	PCBN	1	111006	336	0	0
top	ADDN	1	108724	77	1	0
top	SOUN	1	108054	649	1	0
top	PDCL	1	107015	706	0	0
top	ASPC	1	102783	488	1	0
top	TRNS	1	90582	712	0	0
top	LVLN	1	87740	243	1	0
top	DFOB	1	83784	1211	0	0
top	BMOD	1	82073	491	0	0
top	VOLI	1	79519	42	0	0
top	SMQN	1	77688	354	0	0
top	AMBS	1	77054	292	0	0
top	LVLB	1	74428	356	0	0
top	KEYM	1	63341	242	1	0
top	CAMS	1	63033	272	1	0
top	CLDF	1	62083	16	0	0
top	IRES	1	62030	332	0	0
top	FFKW	1	61203	231	0	0
top	AMMO	1	53765	150	1	0
top	HAZD	1	52075	75	0	0
top	LSCR	1	51521	304	1	0
top	LTEX	1	51344	416	1	0
top	BPTD	1	50019	27	1	0
top	HDPT	1	46406	230	1	0
top	OTFT	1	45861	596	1	0
top	WWED	1	45221	489	0	0
top	FOGV	1	45176	73	0	0
top	STBH	1	44571	87	0	0
top	VTYP	1	44236	683	1	0
top	SUNP	1	41742	52	0	0
top	RSGD	1	40901	32	0	0
top	STND	1	40199	148	0	0
top	LENS	1	37465	23	0	0
top	GRAS	1	36790	189	1	0
top	MATT	1	36617	249	0	0
top	CUR3	1	34308	36	0	0
top	ENCH	1	31677	106	1	0
top	MUST	1	31397	235	0	0
top	BMMO	1	27692	71	0	0
top	LGDI	1	27382	84	0	0
top	FXPD	1	27089	31	0	0
top	PSDC	1	26137	9	0	0
top	LVLP	1	22050	51	0	0
top	WKMF	1	22017	79	0	0
top	SMBN	1	20670	140	0	0
top	SPCH	1	20528	160	0	0
top	RSPJ	1	18312	82	0	0
top	TODD	1	18014	14	0	0
top	AACT	1	17977	222	0	0
top	SFPC	1	17765	61	0	0
top	INNR	1	17361	5	0	0
top	CURV	1	17273	28	0	0
top	CPTH	1	16012	148	1	0
top	MOVT	1	15591	43	0	0
top	EFSH	1	15030	47	1	0
top	COLL	1	13780	62	0	0
top	GCVR	1	13647	96	0	0
top	AMDL	1	13094	110	0	0
top	SECH	1	12917	30	0	0
top	MUSC	1	11433	83	1	0
top	WTHR	1	11236	3	1	0
top	ZOOM	1	11101	118	0	0
top	PMFT	1	10986	75	0	0
top	SCOL	1	9994	15	1	0
top	ANIO	1	9800	63	1	0
top	AAPD	1	8380	22	0	0
top	FSTP	1	7775	91	0	0
top	CHAL	1	7690	8	1	0
top	STAG	1	7028	11	0	0
top	TXST	1	6450	23	1	0
top	WATR	1	6147	15	1	0
top	CLMT	1	6040	47	1	0
top	OVIS	1	4638	1	0	0
top	REVB	1	3589	41	0	0
top	PTST	1	3108	46	0	0
top	DOBJ	1	2993	1	1	0
top	IDLM	1	2743	18	1	0
top	FORC	1	2596	5	0	0
top	AOPF	1	2525	18	0	0
top	AOPS	1	2310	21	0	0
top	FSTS	1	2011	15	0	0
top	TRAV	1	1981	23	0	0
top	BNDS	1	1954	14	1	0
top	SMEN	1	1920	20	0	0
top	GBFT	1	1717	8	0	0
top	EQUP	1	1676	25	0	0
top	CLAS	1	1352	8	1	0
top	DEBR	1	1265	2	1	0
top	LGTM	1	1196	6	1	0
top	CLFM	1	924	12	0	0
top	LVSC	1	891	6	0	0
top	AORU	1	881	11	0	0
top	AAMD	1	828	6	0	0
top	DMGT	1	769	11	0	0
top	REGN	1	561	4	1	0
top	PCMT	1	547	5	0	0
top	WBAR	1	408	6	0	0
top	SDLT	1	330	2	0	0
top	SPGD	1	221	1	0	0
top	OSWP	1	179	3	0	0
top	MAAM	1	102	1	0	0
top	DIAL	1	24	0	1	0
top	DLBR	1	24	0	0	0
top	INFO	1	24	0	0	0
top	NAVM	1	24	0	1	0
top	SCEN	1	24	0	0	0
leaf	AACT	222	0	0	0	0
leaf	AAMD	6	0	0	0	0
leaf	AAPD	22	0	0	0	0
leaf	ACHR	9530	0	0	0	0
leaf	ACTI	1463	0	0	1	0
leaf	ADDN	77	0	0	1	0
leaf	AFFE	1360	0	0	0	0
leaf	ALCH	353	0	0	1	0
leaf	AMBS	292	0	0	0	0
leaf	AMDL	110	0	0	0	0
leaf	AMMO	150	0	0	1	0
leaf	ANIO	63	0	0	1	0
leaf	AOPF	18	0	0	0	0
leaf	AOPS	21	0	0	0	0
leaf	AORU	11	0	0	0	0
leaf	ARMA	1106	0	0	1	0
leaf	ARMO	1017	0	0	1	0
leaf	ARTO	157	0	0	0	0
leaf	ASPC	488	0	0	1	0
leaf	ATMO	594	0	0	0	0
leaf	AVIF	1107	0	0	1	0
leaf	AVMD	6154	0	0	0	0
leaf	BIOM	431	0	0	0	0
leaf	BMMO	71	0	0	0	0
leaf	BMOD	491	0	0	0	0
leaf	BNDS	14	0	0	1	0
leaf	BOOK	992	0	0	1	0
leaf	BPTD	27	0	0	1	0
leaf	CAMS	272	0	0	1	0
leaf	CELL	30717	0	0	1	0
leaf	CHAL	8	0	0	1	0
leaf	CLAS	8	0	0	1	0
leaf	CLDF	16	0	0	0	0
leaf	CLFM	12	0	0	0	0
leaf	CLMT	47	0	0	1	0
leaf	CNDF	899	0	0	0	0
leaf	COBJ	3009	0	0	1	0
leaf	COLL	62	0	0	0	0
leaf	CONT	707	0	0	1	0
leaf	CPTH	148	0	0	1	0
leaf	CSTY	161	0	0	1	0
leaf	CUR3	36	0	0	0	0
leaf	CURV	28	0	0	0	0
leaf	DEBR	2	0	0	1	0
leaf	DFOB	1211	0	0	0	0
leaf	DIAL	68154	0	0	1	0
leaf	DLBR	79	0	0	0	0
leaf	DMGT	11	0	0	0	0
leaf	DOBJ	1	0	0	1	0
leaf	DOOR	339	0	0	1	0
leaf	EFSH	47	0	0	1	0
leaf	EFSQ	484	0	0	0	0
leaf	ENCH	106	0	0	1	0
leaf	EQUP	25	0	0	0	0
leaf	EXPL	273	0	0	1	0
leaf	FACT	812	0	0	1	0
leaf	FFKW	231	0	0	0	0
leaf	FLOR	300	0	0	1	0
leaf	FLST	1142	0	0	1	0
leaf	FOGV	73	0	0	0	0
leaf	FORC	5	0	0	0	0
leaf	FSTP	91	0	0	0	0
leaf	FSTS	15	0	0	0	0
leaf	FURN	899	0	0	1	0
leaf	FXPD	31	0	0	0	0
leaf	GBFM	3141	0	0	0	0
leaf	GBFT	8	0	0	0	0
leaf	GCVR	96	0	0	0	0
leaf	GLOB	2677	0	0	1	0
leaf	GMST	2311	0	0	1	0
leaf	GRAS	189	0	0	1	0
leaf	HAZD	75	0	0	0	0
leaf	HDPT	230	0	0	1	0
leaf	IDLE	1158	0	0	1	0
leaf	IDLM	18	0	0	1	0
leaf	IMAD	190	0	0	1	0
leaf	IMGS	232	0	0	1	0
leaf	INFO	126347	0	0	0	0
leaf	INNR	5	0	0	0	0
leaf	IPCT	1088	0	0	1	0
leaf	IPDS	274	0	0	1	0
leaf	IRES	332	0	0	0	0
leaf	KEYM	242	0	0	1	0
leaf	KSSM	500	0	0	0	0
leaf	KYWD	5931	0	0	0	0
leaf	LAYR	6348	0	0	0	0
leaf	LCRT	3053	0	0	0	0
leaf	LCTN	6017	0	0	0	0
leaf	LENS	23	0	0	0	0
leaf	LGDI	84	0	0	0	0
leaf	LGTM	6	0	0	1	0
leaf	LIGH	1575	0	0	1	0
leaf	LMSW	12966	0	0	0	0
leaf	LSCR	304	0	0	1	0
leaf	LTEX	416	0	0	1	0
leaf	LVLB	356	0	0	0	0
leaf	LVLI	5556	0	0	1	0
leaf	LVLN	243	0	0	1	0
leaf	LVLP	51	0	0	0	0
leaf	LVSC	6	0	0	0	0
leaf	MAAM	1	0	0	0	0
leaf	MATT	249	0	0	0	0
leaf	MESG	1149	0	0	1	0
leaf	MGEF	853	0	0	1	0
leaf	MISC	1319	0	0	1	0
leaf	MOVT	43	0	0	0	0
leaf	MRPH	998	0	0	0	0
leaf	MSTT	1771	0	0	1	0
leaf	MTPT	877	0	0	0	0
leaf	MUSC	83	0	0	1	0
leaf	MUST	235	0	0	0	0
leaf	NAVI	1	0	0	1	0
leaf	NAVM	56576	0	0	1	0
leaf	NOCM	1	0	0	0	0
leaf	NPC_	7131	0	0	1	0
leaf	OMOD	2682	0	0	0	0
leaf	OSWP	3	0	0	0	0
leaf	OTFT	596	0	0	1	0
leaf	OVIS	1	0	0	0	0
leaf	PACK	3548	0	0	1	0
leaf	PCBN	336	0	0	0	0
leaf	PCCN	1805	0	0	0	0
leaf	PCMT	5	0	0	0	0
leaf	PDCL	706	0	0	0	0
leaf	PERK	502	0	0	1	0
leaf	PGRE	1268	0	0	0	0
leaf	PHZD	375	0	0	0	0
leaf	PKIN	11281	0	0	1	0
leaf	PMFT	75	0	0	0	0
leaf	PNDT	1765	0	0	0	0
leaf	PROJ	265	0	0	1	0
leaf	PSDC	9	0	0	0	0
leaf	PTST	46	0	0	0	0
leaf	QUST	2077	0	0	1	0
leaf	RACE	31	0	0	1	0
leaf	REFR	3291860	0	0	0	0
leaf	REGN	4	0	0	1	0
leaf	REVB	41	0	0	0	0
leaf	RFGP	80584	0	0	0	0
leaf	RSGD	32	0	0	0	0
leaf	RSPJ	82	0	0	0	0
leaf	SCEN	7613	0	0	0	0
leaf	SCOL	15	0	0	1	0
leaf	SDLT	2	0	0	0	0
leaf	SECH	30	0	0	0	0
leaf	SFBK	1753	0	0	0	0
leaf	SFPC	61	0	0	0	0
leaf	SFPT	258	0	0	0	0
leaf	SFTR	1505	0	0	0	0
leaf	SMBN	140	0	0	0	0
leaf	SMEN	20	0	0	0	0
leaf	SMQN	354	0	0	0	0
leaf	SOUN	649	0	0	1	0
leaf	SPCH	160	0	0	0	0
leaf	SPEL	584	0	0	1	0
