scene	config	run	wall_fps	wall_ms	fence_ms	brd_ms	gpu_main	gpu_svgf	gpu_composite	gpu_ssao	gpu_volumetrics	gpu_upscale	gpu_presentation	gpu_bloom	entities	draws
cornell	taa	1	320.0	3.13	2.87	0.01	1.819	0.561	0.022	0.072	0.236	0.012	0.008	0.029	25	21/10b/10c
cornell	taa	2	323.7	3.09	2.81	0.01	1.762	0.561	0.023	0.072	0.236	0.012	0.007	0.031	25	21/10b/10c
cornell	taa	3	315.5	3.17	2.79	0.01	1.532	0.793	0.025	0.072	0.239	0.012	0.008	0.029	25	21/10b/10c
cornell	fsr-native-aa	1	300.7	3.33	2.99	0.01	1.530	0.559	0.019	0.073	0.236	0.206	0.008	0.034	25	21/10b/10c
cornell	fsr-native-aa	2	294.7	3.39	3.06	0.01	1.768	0.561	0.020	0.073	0.236	0.598	0.008	0.034	25	21/10b/10c
cornell	fsr-native-aa	3	294.5	3.40	3.06	0.01	1.630	0.560	0.020	0.073	0.236	0.207	0.009	0.039	25	21/10b/10c
cornell	fsr-quality	1	465.2	2.15	1.82	0.01	0.824	0.469	0.012	0.037	0.237	0.164	0.009	0.028	25	21/10b/10c
cornell	fsr-quality	2	453.5	2.21	1.80	0.01	0.825	0.545	0.012	0.036	0.236	0.162	0.009	0.029	25	21/10b/10c
cornell	fsr-quality	3	465.0	2.15	1.82	0.01	0.813	0.268	0.011	0.036	0.234	0.159	0.009	0.026	25	21/10b/10c
cornell	fsr-balanced	1	490.6	2.04	1.59	0.01	0.691	0.219	0.010	0.030	0.236	0.157	0.008	0.026	25	21/10b/10c
cornell	fsr-balanced	2	499.3	2.00	1.59	0.01	0.676	0.218	0.010	0.029	0.236	0.153	0.009	0.026	25	21/10b/10c
cornell	fsr-balanced	3	505.2	1.98	1.60	0.01	0.684	0.219	0.011	0.029	0.236	0.154	0.007	0.026	25	21/10b/10c
cornell	fsr-performance	1	583.4	1.71	1.39	0.01	0.531	0.171	0.008	0.023	0.240	0.386	0.008	0.024	25	21/10b/10c
cornell	fsr-performance	2	582.3	1.72	1.38	0.01	0.529	0.172	0.009	0.023	0.236	0.385	0.008	0.025	25	21/10b/10c
cornell	fsr-performance	3	589.1	1.70	1.40	0.01	0.518	0.171	0.008	0.023	0.235	0.147	0.008	0.025	25	21/10b/10c
prospector	taa	1	64.8	15.43	13.54	0.36	13.130	0.653	0.028	0.028	0.251	0.012	0.008	0.247	3626	1224/32b/3c
prospector	taa	2	64.4	15.52	13.24	0.41	13.231	0.617	0.032	0.027	0.251	0.350	0.009	0.029	3626	1224/32b/3c
prospector	taa	3	64.5	15.49	13.28	0.38	13.483	0.685	0.030	0.258	0.250	0.013	0.008	0.031	3626	1224/32b/3c
prospector	fsr-native-aa	1	63.1	15.85	13.57	0.37	14.062	0.646	0.029	0.029	0.253	0.597	0.010	0.041	3626	1224/32b/3c
prospector	fsr-native-aa	2	62.6	15.97	13.78	0.36	13.403	0.621	0.029	0.028	0.250	0.363	0.010	0.042	3626	1224/32b/3c
prospector	fsr-native-aa	3	62.9	15.91	13.59	0.37	14.060	0.619	0.031	0.030	0.252	0.646	0.011	0.049	3626	1224/32b/3c
prospector	fsr-quality	1	121.9	8.20	6.23	0.35	6.326	0.330	0.016	0.015	0.251	0.161	0.010	0.033	3626	1224/32b/3c
prospector	fsr-quality	2	122.6	8.15	6.05	0.37	6.312	0.296	0.016	0.016	0.251	0.161	0.009	0.033	3626	1224/32b/3c
prospector	fsr-quality	3	124.5	8.03	5.70	0.38	6.230	0.296	0.016	0.015	0.250	0.161	0.008	0.032	3626	1224/32b/3c
prospector	fsr-balanced	1	154.3	6.48	4.76	0.32	4.469	0.234	0.012	0.013	0.250	0.155	0.009	0.028	3626	1224/32b/3c
prospector	fsr-balanced	2	154.3	6.48	4.67	0.33	4.806	0.276	0.013	0.013	0.250	0.156	0.009	0.029	3626	1224/32b/3c
prospector	fsr-balanced	3	151.5	6.60	4.76	0.33	4.941	0.237	0.013	0.013	0.250	0.155	0.009	0.031	3626	1224/32b/3c
