scene	config	run	wall_fps	wall_ms	fence_ms	brd_ms	gpu_main	gpu_svgf	gpu_composite	gpu_ssao	gpu_volumetrics	gpu_upscale	gpu_presentation	gpu_bloom	entities	draws
cornell	taa	1	320.7	3.12	2.86	0.01	1.741	0.560	0.023	0.072	0.234	0.012	0.008	0.031	25	21/10b/10c
cornell	taa	2	327.8	3.05	2.79	0.01	1.707	0.561	0.023	0.072	0.236	0.012	0.007	0.031	25	21/10b/10c
cornell	taa	3	323.6	3.09	2.83	0.01	1.497	0.560	0.022	0.072	0.236	0.012	0.008	0.028	25	21/10b/10c
cornell	fsr-native-aa	1	295.6	3.38	3.04	0.01	1.738	0.560	0.022	0.073	0.237	0.460	0.010	0.040	25	21/10b/10c
cornell	fsr-native-aa	2	300.2	3.33	3.00	0.01	1.509	0.559	0.020	0.073	0.236	0.211	0.008	0.036	25	21/10b/10c
cornell	fsr-native-aa	3	284.7	3.51	2.86	0.01	1.700	0.561	0.022	0.073	0.237	0.214	0.009	0.040	25	21/10b/10c
cornell	fsr-quality	1	423.2	2.36	1.75	0.01	0.813	0.307	0.012	0.037	0.234	0.163	0.009	0.029	25	21/10b/10c
cornell	fsr-quality	2	462.1	2.16	1.79	0.01	0.816	0.312	0.011	0.036	0.236	0.165	0.009	0.027	25	21/10b/10c
cornell	fsr-quality	3	464.3	2.15	1.80	0.01	0.820	0.271	0.012	0.037	0.234	0.163	0.008	0.030	25	21/10b/10c
cornell	fsr-balanced	1	508.3	1.97	1.60	0.01	0.680	0.220	0.011	0.030	0.235	0.157	0.009	0.029	25	21/10b/10c
cornell	fsr-balanced	2	509.3	1.96	1.61	0.01	0.688	0.220	0.011	0.030	0.234	0.158	0.010	0.031	25	21/10b/10c
cornell	fsr-balanced	3	502.0	1.99	1.59	0.01	0.698	0.221	0.011	0.030	0.236	0.158	0.008	0.033	25	21/10b/10c
cornell	fsr-performance	1	558.7	1.79	1.38	0.01	0.534	0.172	0.009	0.023	0.234	0.150	0.008	0.026	25	21/10b/10c
cornell	fsr-performance	2	574.0	1.74	1.37	0.01	0.526	0.170	0.009	0.024	0.238	0.152	0.009	0.026	25	21/10b/10c
cornell	fsr-performance	3	568.0	1.76	1.36	0.01	0.523	0.170	0.009	0.023	0.236	0.151	0.008	0.026	25	21/10b/10c
prospector	taa	1	65.3	15.32	13.47	0.36	13.107	0.648	0.477	0.027	0.250	0.013	0.008	0.030	3626	1224/32b/3c
prospector	taa	2	65.2	15.35	13.39	0.36	12.685	0.619	0.031	0.028	0.250	0.267	0.008	0.029	3626	1224/32b/3c
prospector	taa	3	65.7	15.22	13.20	0.38	12.737	0.620	0.030	0.028	0.250	0.012	0.009	0.292	3626	1224/32b/3c
prospector	fsr-native-aa	1	63.9	15.64	13.67	0.35	13.116	0.665	0.032	0.028	0.251	0.394	0.012	0.047	3626	1224/32b/3c
prospector	fsr-native-aa	2	63.3	15.79	13.86	0.35	13.217	0.654	0.029	0.027	0.251	0.475	0.010	0.042	3626	1224/32b/3c
prospector	fsr-native-aa	3	64.3	15.56	13.66	0.34	13.175	0.631	0.029	0.027	0.251	0.406	0.010	0.042	3626	1224/32b/3c
prospector	fsr-quality	1	122.9	8.14	6.02	0.38	6.653	0.295	0.016	0.015	0.251	0.162	0.009	0.032	3626	1224/32b/3c
prospector	fsr-quality	2	123.8	8.08	6.00	0.38	6.133	0.296	0.015	0.016	0.250	0.162	0.009	0.032	3626	1224/32b/3c
prospector	fsr-quality	3	123.5	8.10	5.88	0.37	6.213	0.294	0.016	0.016	0.294	0.162	0.009	0.032	3626	1224/32b/3c
prospector	fsr-balanced	1	148.5	6.73	4.82	0.36	4.974	0.236	0.013	0.014	0.250	0.155	0.010	0.031	3626	1224/32b/3c
prospector	fsr-balanced	2	153.1	6.53	4.77	0.33	5.111	0.237	0.012	0.014	0.251	0.156	0.010	0.030	3626	1224/32b/3c
prospector	fsr-balanced	3	147.0	6.80	4.81	0.37	5.058	0.238	0.013	0.014	0.252	0.158	0.009	0.033	3626	1224/32b/3c
prospector	fsr-performance	1	191.6	5.22	3.52	0.32	3.632	0.180	0.010	0.012	0.250	0.146	0.009	0.028	3626	1224/32b/3c
prospector	fsr-performance	2	183.9	5.44	3.35	0.35	3.537	0.217	0.009	0.012	0.250	0.146	0.010	0.026	3626	1224/32b/3c
prospector	fsr-performance	3	187.2	5.34	3.60	0.32	3.454	0.179	0.010	0.012	0.250	0.151	0.010	0.026	3626	1224/32b/3c
whiterun	taa	1	97.6	10.25	8.94	0.39	8.279	0.556	0.031	0.011	0.268	0.012	0.007	0.029	3406	1292/353b/10c
whiterun	taa	2	95.9	10.43	9.52	0.35	8.334	0.568	0.031	0.011	0.263	0.012	0.007	0.029	3406	1295/351b/10c
whiterun	taa	3	98.6	10.15	9.17	0.36	8.164	0.586	0.036	0.010	0.300	0.200	0.008	0.031	3406	1293/351b/10c
whiterun	fsr-native-aa	1	91.7	10.91	9.68	0.37	8.096	0.569	0.032	0.010	0.262	0.615	0.010	0.048	3406	1292/351b/10c
whiterun	fsr-native-aa	2	93.4	10.70	9.49	0.38	8.067	0.566	0.031	0.009	0.262	0.486	0.011	0.047	3406	1292/351b/10c
whiterun	fsr-native-aa	3	92.8	10.78	9.56	0.37	8.028	0.569	0.031	0.010	0.264	0.746	0.011	0.043	3406	1291/351b/10c
whiterun	fsr-quality	1	157.0	6.37	5.34	0.35	3.494	0.268	0.015	0.006	0.268	0.289	0.009	0.032	3406	1293/351b/10c
whiterun	fsr-quality	2	161.6	6.19	5.27	0.34	4.082	0.534	0.016	0.006	0.263	0.168	0.011	0.034	3406	1294/351b/10c
whiterun	fsr-quality	3	164.1	6.09	4.99	0.36	4.026	0.272	0.016	0.007	0.262	0.171	0.010	0.032	3406	1295/351b/10c
