# harness=1293dfc0 engine=e6282349 (binary swapped in; harness+reporter from 4c9a5b36) mode=renderer-stepped camera=orbit runs=3 frames=300
scene	config	run	mode	camera	wall_fps	wall_ms	fence_ms	brd_ms	gpu_main	gpu_svgf	gpu_composite	gpu_ssao	gpu_volumetrics	gpu_upscale	gpu_presentation	gpu_bloom	sim_time_s	entities	draws	lights	tlas	state_hash	gpu_inactive
cornell	taa	1	renderer-stepped	orbit	103.2	9.69	9.22	0.02	8.063	0.436	0.039	0.066	0.233	0.012	0.011	0.038	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,skin_palette,depth_history_copy
cornell	taa	2	renderer-stepped	orbit	104.3	9.59	8.95	0.02	8.620	0.434	0.039	0.066	0.232	0.013	0.011	0.042	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,skin_palette,depth_history_copy
cornell	taa	3	renderer-stepped	orbit	103.6	9.65	9.01	0.02	8.780	0.432	0.039	0.066	0.231	0.012	0.011	0.038	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,skin_palette,depth_history_copy
cornell	fsr-native-aa	1	renderer-stepped	orbit	98.7	10.13	9.51	0.02	8.134	0.435	0.042	0.067	0.234	0.580	0.016	0.039	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-native-aa	2	renderer-stepped	orbit	100.4	9.96	9.29	0.02	8.361	0.477	0.041	0.066	0.234	0.231	0.014	0.038	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-native-aa	3	renderer-stepped	orbit	102.2	9.79	9.15	0.02	7.676	0.436	0.040	0.068	0.230	0.232	0.014	0.038	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-quality	1	renderer-stepped	orbit	135.5	7.38	6.64	0.02	7.461	0.210	0.024	0.036	0.125	0.171	0.012	0.033	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-quality	2	renderer-stepped	orbit	135.7	7.37	6.73	0.02	7.858	0.210	0.023	0.035	0.127	0.171	0.013	0.037	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-quality	3	renderer-stepped	orbit	137.5	7.27	6.59	0.02	7.738	0.211	0.023	0.036	0.126	0.170	0.012	0.033	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-balanced	1	renderer-stepped	orbit	163.5	6.12	5.55	0.02	5.751	0.167	0.020	0.029	0.101	0.167	0.013	0.032	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-balanced	2	renderer-stepped	orbit	166.1	6.02	5.45	0.02	6.262	0.169	0.020	0.029	0.100	0.165	0.013	0.036	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-balanced	3	renderer-stepped	orbit	165.3	6.05	5.49	0.02	6.206	0.169	0.020	0.028	0.102	0.164	0.012	0.035	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-performance	1	renderer-stepped	orbit	209.1	4.78	4.29	0.02	4.279	0.132	0.014	0.022	0.077	0.155	0.013	0.030	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-performance	2	renderer-stepped	orbit	203.9	4.91	4.39	0.02	4.490	0.130	0.014	0.023	0.078	0.155	0.013	0.029	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-performance	3	renderer-stepped	orbit	205.8	4.86	4.32	0.02	4.911	0.131	0.014	0.022	0.080	0.155	0.012	0.035	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
dugout	taa	1	renderer-stepped	orbit	94.0	10.63	4.04	0.61	5.304	0.300	0.036	0.047	0.314	0.012	0.011	0.040	5.000010	11592	1935/326b/12c	156	1818	4ec9c14b3038bcb8	skin_palette
dugout	taa	2	renderer-stepped	orbit	99.3	10.07	3.87	0.61	5.005	0.659	0.047	0.070	0.310	0.012	0.011	0.043	5.000010	11592	1935/326b/12c	156	1818	4ec9c14b3038bcb8	skin_palette
dugout	taa	3	renderer-stepped	orbit	99.1	10.09	3.91	0.59	5.172	0.699	0.037	0.048	0.312	0.013	0.011	0.038	5.000010	11592	1935/326b/12c	156	1818	4ec9c14b3038bcb8	skin_palette
dugout	fsr-native-aa	1	renderer-stepped	orbit	99.0	10.10	3.47	0.61	5.088	0.826	0.039	0.048	0.347	0.227	0.013	0.043	5.000010	11592	1935/326b/12c	156	1818	4ec9c14b3038bcb8	taa,skin_palette
dugout	fsr-native-aa	2	renderer-stepped	orbit	97.6	10.25	3.69	0.63	5.036	0.729	0.038	0.048	0.317	0.225	0.013	0.043	5.000010	11592	1935/326b/12c	156	1818	4ec9c14b3038bcb8	taa,skin_palette
dugout	fsr-native-aa	3	renderer-stepped	orbit	90.6	11.04	4.24	0.62	5.192	0.428	0.038	0.047	0.312	0.218	0.013	0.041	5.000010	11592	1935/326b/12c	156	1818	4ec9c14b3038bcb8	taa,skin_palette
dugout	fsr-quality	1	renderer-stepped	orbit	101.0	9.90	3.44	0.60	9.043	0.151	0.022	0.031	0.202	0.173	0.013	0.034	5.000010	11592	1935/326b/12c	156	1818	4ec9c14b3038bcb8	taa,skin_palette
