capture	game	cell	grid	quality	mode	frames	wall_ms	wall_fps	frame_p50_ms	frame_p95_ms	frame_max_ms	systems_ms	brd_ms	gpu_main_render	gpu_tlas_build	gpu_blas_refit	sim_time_s	camera_pos	camera_forward	entities	meshes	textures	draws	lights	tlas	state_hash	rt_tier
stepped_baseline/baseline/1	fo4	MedTekResearch01		native-aa	renderer-stepped	120	106.09	9.4	106.11	117.15	577.87	19.64	4.34	60.404	0.029	0.436	1.999999	-1536.000,120.000,-768.000	-0.258819,0.000000,-0.965926	39560	1195	873	14268/1212b/81c	286	13038	cf6bfdee2e27ebd5	0
stepped_direct_off/baseline/1	fo4	MedTekResearch01		native-aa	renderer-stepped	120	88.96	11.2	89.48	95.53	529.25	19.32	4.33	45.142	0.030	0.439	1.999999	-1536.000,120.000,-768.000	-0.258819,0.000000,-0.965926	39560	1195	873	14268/1212b/81c	286	13038	cf6bfdee2e27ebd5	0
stepped_reflection_off/baseline/1	fo4	MedTekResearch01		native-aa	renderer-stepped	120	104.26	9.6	104.66	114.71	552.83	21.03	4.56	55.713	0.030	0.434	1.999999	-1536.000,120.000,-768.000	-0.258819,0.000000,-0.965926	39560	1195	873	14268/1212b/81c	286	13038	cf6bfdee2e27ebd5	0
stepped_all_rays_off/baseline/1	fo4	MedTekResearch01		native-aa	renderer-stepped	120	83.39	12.0	83.20	92.64	535.26	19.96	4.21	40.129	0.029	0.441	1.999999	-1536.000,120.000,-768.000	-0.258819,0.000000,-0.965926	39560	1195	873	14268/1212b/81c	286	13038	cf6bfdee2e27ebd5	0
stepped_cpu/fixed/1	fo4	MedTekResearch01		native-aa	renderer-stepped	120	102.04	9.8	103.26	107.79	552.13	9.65	4.33	67.309	0.030	0.438	1.999999	-1536.000,120.000,-768.000	-0.258819,0.000000,-0.965926	39560	1195	873	14268/1212b/81c	286	13038	cf6bfdee2e27ebd5	0
stepped_cpu/baseline/2	fo4	MedTekResearch01		native-aa	renderer-stepped	120	113.39	8.8	114.72	119.44	529.61	21.15	4.66	65.779	0.030	0.436	1.999999	-1536.000,120.000,-768.000	-0.258819,0.000000,-0.965926	39560	1195	873	14268/1212b/81c	286	13038	cf6bfdee2e27ebd5	0
stepped_cpu/fixed/3	fo4	MedTekResearch01		native-aa	renderer-stepped	120	101.89	9.8	102.92	107.57	502.53	9.88	4.28	66.337	0.030	0.437	1.999999	-1536.000,120.000,-768.000	-0.258819,0.000000,-0.965926	39560	1195	873	14268/1212b/81c	286	13038	cf6bfdee2e27ebd5	0
stepped_long/baseline/1	fo4	MedTekResearch01		native-aa	renderer-stepped	302	111.62	9.0	111.38	117.89	475.17	18.58	4.34	67.384	0.030	0.266	5.033344	-1536.000,120.000,-768.000	-0.258819,0.000000,-0.965926	39560	1195	873	14268/1212b/81c	286	13038	ffe158a159e1c2e9	0
stepped_long/final/2	fo4	MedTekResearch01		native-aa	renderer-stepped	302	101.14	9.9	101.02	106.00	472.13	8.03	4.18	66.881	0.029	0.264	5.033344	-1536.000,120.000,-768.000	-0.258819,0.000000,-0.965926	39560	1195	873	14268/1212b/81c	286	13038	ffe158a159e1c2e9	0
stepped_exterior/baseline/1	fo4		0,0	performance	renderer-stepped	173	198.35	5.0	76.48	817.70	1134.61	144.32	5.11	1.671	0.039	0.728	2.883331	14336.000,964.000,-1848.000	0.000000,-0.447214,-0.894427	102805	4883	2560	20096/493b/12c	27	19900	bbcc61390b91e3e6	0
stepped_exterior/fixed/2	fo4		0,0	performance	renderer-stepped	191	168.15	5.9	59.99	791.70	1246.27	119.04	4.81	3.190	0.075	0.990	3.183331	14336.000,964.000,-1848.000	0.000000,-0.447214,-0.894427	102926	4908	2565	20170/493b/12c	27	19974	1c8ccfea25bdf07a	0
stepped_validation/final/1	fo4	MedTekResearch01		native-aa	renderer-stepped	60	105.21	9.5	109.00	114.14	542.13	11.30	4.38	65.767	0.030	0.609	1.000000	-1536.000,120.000,-768.000	-0.258819,0.000000,-0.965926	39560	1195	873	14268/1212b/81c	286	13038	d163d3338efe75df	0
stepped_fnv/baseline/1	fnv	GSProspectorSaloonInterior		native-aa	renderer-stepped	60	36.32	27.5	35.84	38.77	15646.76	1.97	0.29	11.212	0.024	0.711	1.000000	470.000,3580.000,-492.000	-0.939694,0.000000,0.342015	3114	387	347	904/329b/78c	25	893	9c1bcddd51f2ac0f	0
stepped_fnv/final/2	fnv	GSProspectorSaloonInterior		native-aa	renderer-stepped	60	35.75	28.0	35.98	38.40	142.17	1.79	0.30	11.919	0.023	0.743	1.000000	470.000,3580.000,-492.000	-0.939694,0.000000,0.342015	3114	387	347	904/329b/78c	25	893	9c1bcddd51f2ac0f	0
stepped_skyrim/baseline/1	skyrim_se	WhiterunBanneredMare		native-aa	renderer-stepped	60	33.95	29.5	33.94	37.71	102.31	2.84	0.45	8.489	0.024	0.001	1.000000	-125.115,188.000,1101.734	-0.258817,0.000000,-0.965926	5857	463	356	1298/403b/23c	18	1235	b2e52c0f557fe9ba	0
stepped_skyrim/final/2	skyrim_se	WhiterunBanneredMare		native-aa	renderer-stepped	60	32.24	31.0	32.45	36.07	97.91	1.51	0.42	8.091	0.024	0.001	1.000000	-125.115,188.000,1101.734	-0.258817,0.000000,-0.965926	5857	463	356	1298/403b/23c	18	1235	b2e52c0f557fe9ba	0
stepped_exterior_validation/final/1	fo4		0,0	performance	renderer-static	4	35.53	28.1	42.70	245.90	245.90	3.21	7.90	17.916	0.392	0.236	0.000000	2048.000,964.000,-1848.000	0.000000,-0.447214,-0.894427	66213	3680	2176	23106/658b/34c	37	22836	8185dd2d266008b4	0
