run	game	cell	mode	camera	frames	window_size	fsr_quality	render_debug	rt_tier	volumetric_rt_tier	state_hash	entities	meshes	textures	lights	tlas	draws	bench_draws_raster_cmds	wall_ms	frame_p50_ms	frame_p95_ms	frame_max_ms	brd_ms	systems_ms	draw_ms	fence	cpu_tlas_ms	ssbo	cmd	submit	pipeline_compile_ms	gpu_skin_disp	gpu_blas_refit	gpu_taa	gpu_upscale	gpu_main_render	gpu_svgf	gpu_composite	gpu_ssao	gpu_bloom	gpu_volumetrics	gpu_cluster_cull	gpu_presentation	gpu_tlas_build	gpu_caustic_splat	gpu_skin_palette	gpu_depth_history_copy	gpu_sky_cube	gpu_groundcover_scatter	gpu_exposure_meter	gpu_groundcover_models	gpu_volumetrics_inject	gpu_volumetrics_integrate	gpu_inactive	phase_samples	readback_main_mean_ms	readback_opaque_mean_ms	readback_blended_mean_ms	readback_water_mean_ms	readback_gc_models_mean_ms	readback_gc_blades_mean_ms
native-1	fo4	MedTekResearch01	renderer-stepped	pan	120	1280x720	native-aa	0	0	0	43cada0e41e72845	39560	1195	873	286	13038	14268/1212b/81c	8733	95.61	95.74	104.48	568.07	4.15	9.27	86.10	0.01	1.07	2.06	0.28	82.13	0.40	0.007	0.439	0.000	0.253	60.402	0.488	0.054	0.074	0.040	0.879	0.178	0.014	0.030	0.101	0.013	0.010	0.210	0.000	0.002	0.000	0.855	0.021	taa,groundcover_scatter,groundcover_models	118	59.314110	56.481602	2.738992	0.000000	0.000000	0.000000
quality-1	fo4	MedTekResearch01	renderer-stepped	pan	120	1280x720	quality	0	0	0	43cada0e41e72845	39560	1195	873	286	13038	14268/1212b/81c	8733	66.48	66.29	75.72	411.72	4.03	9.23	55.83	0.01	1.07	2.03	0.27	51.89	0.39	0.014	0.443	0.000	0.462	34.171	0.225	0.026	0.036	0.036	0.435	0.174	0.013	0.029	0.095	0.013	0.006	0.204	0.000	0.002	0.000	0.408	0.024	taa,groundcover_scatter,groundcover_models	118	30.537797	28.981669	1.451847	0.000000	0.000000	0.000000
no_main_rays-1	fo4	MedTekResearch01	renderer-stepped	pan	120	1280x720	native-aa	0x40000000	0	0	43cada0e41e72845	39560	1195	873	286	13038	14268/1212b/81c	8733	71.16	71.49	77.26	479.21	4.24	9.15	60.96	0.00	1.04	2.04	0.27	57.12	0.37	0.007	0.440	0.000	0.246	39.277	0.692	0.050	0.074	0.038	1.316	0.177	0.015	0.029	0.118	0.013	0.008	0.197	0.000	0.002	0.000	1.286	0.026	taa,groundcover_scatter,groundcover_models	118	35.135441	33.637771	1.395983	0.000000	0.000000	0.000000
no_main_rays-2	fo4	MedTekResearch01	renderer-stepped	pan	120	1280x720	native-aa	0x40000000	0	0	43cada0e41e72845	39560	1195	873	286	13038	14268/1212b/81c	8733	74.73	75.60	84.35	353.74	4.33	9.69	62.83	0.00	1.11	2.19	0.28	58.68	0.43	0.013	0.435	0.000	0.252	39.650	0.517	0.051	0.075	0.040	1.150	0.172	0.014	0.030	0.109	0.013	0.008	0.202	0.000	0.002	0.000	1.124	0.024	taa,groundcover_scatter,groundcover_models	118	36.368822	34.705076	1.423085	0.000000	0.000000	0.000000
quality-2	fo4	MedTekResearch01	renderer-stepped	pan	120	1280x720	quality	0	0	0	43cada0e41e72845	39560	1195	873	286	13038	14268/1212b/81c	8733	70.40	70.59	78.43	434.61	4.27	10.00	58.89	0.01	1.14	2.23	0.29	54.69	0.40	0.007	0.466	0.000	0.636	34.429	0.229	0.027	0.036	0.036	0.437	0.216	0.015	0.029	0.095	0.013	0.008	0.205	0.000	0.002	0.000	0.410	0.025	taa,groundcover_scatter,groundcover_models	118	32.268415	30.523025	1.442568	0.000000	0.000000	0.000000
native-2	fo4	MedTekResearch01	renderer-stepped	pan	120	1280x720	native-aa	0	0	0	43cada0e41e72845	39560	1195	873	286	13038	14268/1212b/81c	8733	101.43	103.27	107.05	614.20	4.24	10.09	91.38	0.01	1.10	2.18	0.30	87.25	0.42	0.008	0.439	0.000	0.254	66.214	0.476	0.050	0.074	0.039	1.101	0.180	0.015	0.030	0.117	0.013	0.009	0.201	0.000	0.003	0.000	1.074	0.023	taa,groundcover_scatter,groundcover_models	118	63.788788	60.380314	3.034788	0.000000	0.000000	0.000000
native-3	fo4	MedTekResearch01	renderer-stepped	pan	120	1280x720	native-aa	0	0	0	43cada0e41e72845	39560	1195	873	286	13038	14268/1212b/81c	8733	102.81	104.62	110.19	507.95	4.35	9.75	92.08	0.01	1.13	2.25	0.30	87.88	0.38	0.013	0.434	0.000	0.258	67.046	0.488	0.050	0.074	0.039	1.328	0.181	0.016	0.030	0.106	0.013	0.013	0.209	0.000	0.002	0.000	1.302	0.024	taa,groundcover_scatter,groundcover_models	118	64.055051	60.617729	3.016000	0.000000	0.000000	0.000000
quality-3	fo4	MedTekResearch01	renderer-stepped	pan	120	1280x720	quality	0	0	0	43cada0e41e72845	39560	1195	873	286	13038	14268/1212b/81c	8733	70.60	70.95	78.29	397.86	4.38	9.79	58.92	0.01	1.14	2.20	0.29	54.74	0.41	0.014	0.442	0.000	0.387	33.522	0.234	0.027	0.036	0.042	0.437	0.176	0.014	0.029	0.095	0.012	0.011	0.207	0.000	0.003	0.000	0.409	0.025	taa,groundcover_scatter,groundcover_models	118	32.361195	30.590627	1.459593	0.000000	0.000000	0.000000
no_main_rays-3	fo4	MedTekResearch01	renderer-stepped	pan	120	1280x720	native-aa	0x40000000	0	0	43cada0e41e72845	39560	1195	873	286	13038	14268/1212b/81c	8733	73.93	74.07	81.52	528.02	4.26	9.86	63.37	0.00	1.12	2.22	0.29	59.20	0.41	0.008	0.439	0.000	0.250	38.747	0.474	0.049	0.074	0.039	1.298	0.180	0.014	0.030	0.120	0.013	0.009	0.209	0.000	0.002	0.000	1.271	0.024	taa,groundcover_scatter,groundcover_models	118	36.502712	34.868720	1.422449	0.000000	0.000000	0.000000
prospector-1	fnv	GSProspectorSaloonInterior	renderer-stepped	pan	60	1280x720	native-aa	0	0	0	9c1bcddd51f2ac0f	3114	387	347	25	893	904/329b/78c	529	35.37	35.69	38.30	17249.29	0.31	1.81	320.28	0.00	0.30	0.15	0.27	36.10	283.35	0.015	0.709	0.000	0.410	12.109	0.509	0.049	0.078	0.039	0.244	0.205	0.014	0.023	0.014	0.015	0.000	0.370	0.000	0.002	0.000	0.222	0.019	taa,depth_history_copy,groundcover_scatter,groundcover_models	58	12.236034	11.224276	0.819121	0.000000	0.000000	0.000000
