sample	main_ms	opaque_ms	blended_ms	water_ms	gc_models_ms	gc_blades_ms
1	120.563	115.375	3.718	0.000	0.000	0.000
2	98.745	95.496	2.695	0.000	0.000	0.000
3	60.287	57.284	2.857	0.000	0.000	0.000
4	60.814	57.750	2.877	0.000	0.000	0.000
5	60.425	57.422	2.862	0.000	0.000	0.000
6	60.357	57.140	2.749	0.000	0.000	0.000
7	61.149	57.747	2.912	0.000	0.000	0.000
8	59.709	56.929	2.339	0.000	0.000	0.000
9	60.653	57.355	2.677	0.000	0.000	0.000
10	60.427	57.203	2.703	0.000	0.000	0.000
11	60.852	57.705	2.943	0.000	0.000	0.000
12	60.934	57.804	2.777	0.000	0.000	0.000
13	61.306	57.993	2.479	0.000	0.000	0.000
14	61.515	58.239	3.261	0.000	0.000	0.000
15	61.689	58.973	2.451	0.000	0.000	0.000
16	61.511	58.660	2.511	0.000	0.000	0.000
17	61.245	58.248	2.852	0.000	0.000	0.000
18	60.458	57.396	2.813	0.000	0.000	0.000
19	61.784	58.385	3.383	0.000	0.000	0.000
20	61.868	58.425	3.426	0.000	0.000	0.000
21	61.616	58.769	2.587	0.000	0.000	0.000
22	60.626	57.480	2.891	0.000	0.000	0.000
23	61.727	58.684	2.792	0.000	0.000	0.000
24	61.139	57.949	3.039	0.000	0.000	0.000
25	60.783	57.832	2.645	0.000	0.000	0.000
26	62.127	58.733	3.013	0.000	0.000	0.000
27	61.397	58.203	2.742	0.000	0.000	0.000
28	61.284	58.067	2.838	0.000	0.000	0.000
29	60.905	57.868	2.571	0.000	0.000	0.000
30	60.897	57.973	2.786	0.000	0.000	0.000
31	61.331	58.368	2.477	0.000	0.000	0.000
32	61.372	57.855	3.260	0.000	0.000	0.000
33	60.894	58.241	2.309	0.000	0.000	0.000
34	62.066	58.486	2.609	0.000	0.000	0.000
35	61.843	58.343	3.248	0.000	0.000	0.000
36	61.263	57.424	2.781	0.000	0.000	0.000
37	62.378	58.937	2.939	0.000	0.000	0.000
38	62.514	58.868	3.255	0.000	0.000	0.000
39	61.223	58.183	2.657	0.000	0.000	0.000
40	62.013	58.727	2.831	0.000	0.000	0.000
41	62.477	58.607	2.981	0.000	0.000	0.000
42	60.759	57.599	2.960	0.000	0.000	0.000
43	62.046	58.320	3.421	0.000	0.000	0.000
44	60.684	57.866	2.578	0.000	0.000	0.000
45	62.022	58.606	2.973	0.000	0.000	0.000
46	61.366	58.156	2.717	0.000	0.000	0.000
47	58.444	56.066	2.362	0.000	0.000	0.000
48	61.002	57.945	2.808	0.000	0.000	0.000
49	62.221	58.876	2.898	0.000	0.000	0.000
50	60.616	57.631	2.628	0.000	0.000	0.000
51	61.219	57.955	2.955	0.000	0.000	0.000
52	61.621	58.322	3.161	0.000	0.000	0.000
53	62.423	59.208	2.956	0.000	0.000	0.000
54	62.125	58.695	2.487	0.000	0.000	0.000
55	60.462	57.506	2.569	0.000	0.000	0.000
56	62.878	59.674	2.840	0.000	0.000	0.000
57	61.869	58.967	2.761	0.000	0.000	0.000
58	61.799	58.470	3.072	0.000	0.000	0.000
59	61.930	58.686	2.739	0.000	0.000	0.000
60	61.983	58.632	2.746	0.000	0.000	0.000
61	61.140	57.741	2.928	0.000	0.000	0.000
62	61.400	58.287	2.929	0.000	0.000	0.000
63	60.331	57.235	2.827	0.000	0.000	0.000
64	60.984	57.816	2.687	0.000	0.000	0.000
65	60.793	58.062	2.370	0.000	0.000	0.000
66	61.086	58.116	2.753	0.000	0.000	0.000
67	61.404	58.086	3.032	0.000	0.000	0.000
68	60.482	57.510	2.957	0.000	0.000	0.000
69	60.934	58.004	2.913	0.000	0.000	0.000
70	61.465	57.693	3.216	0.000	0.000	0.000
71	60.926	57.737	2.803	0.000	0.000	0.000
72	60.676	58.262	2.401	0.000	0.000	0.000
73	61.172	58.297	2.422	0.000	0.000	0.000
74	61.023	58.212	2.414	0.000	0.000	0.000
75	60.344	57.221	2.494	0.000	0.000	0.000
76	61.294	58.313	2.629	0.000	0.000	0.000
77	61.196	58.132	2.708	0.000	0.000	0.000
78	61.846	58.072	3.308	0.000	0.000	0.000
79	61.795	58.501	2.902	0.000	0.000	0.000
80	61.254	58.061	3.054	0.000	0.000	0.000
81	61.747	58.342	2.833	0.000	0.000	0.000
82	61.532	58.351	2.794	0.000	0.000	0.000
83	61.146	57.961	3.045	0.000	0.000	0.000
84	61.530	58.308	2.748	0.000	0.000	0.000
85	61.590	58.449	2.698	0.000	0.000	0.000
86	61.314	58.733	2.441	0.000	0.000	0.000
87	61.572	58.678	2.451	0.000	0.000	0.000
88	61.533	58.258	2.988	0.000	0.000	0.000
89	61.329	58.346	2.540	0.000	0.000	0.000
90	61.835	59.225	2.473	0.000	0.000	0.000
91	62.192	58.474	2.984	0.000	0.000	0.000
92	61.500	58.726	2.304	0.000	0.000	0.000
93	61.076	57.834	3.099	0.000	0.000	0.000
94	62.347	58.673	3.273	0.000	0.000	0.000
95	61.827	58.524	2.917	0.000	0.000	0.000
96	61.203	58.324	2.678	0.000	0.000	0.000
97	61.485	58.221	3.094	0.000	0.000	0.000
98	62.356	58.895	3.261	0.000	0.000	0.000
99	61.302	57.990	2.868	0.000	0.000	0.000
100	61.441	58.569	2.735	0.000	0.000	0.000
101	61.799	58.442	3.101	0.000	0.000	0.000
102	61.544	58.117	2.806	0.000	0.000	0.000
103	61.233	57.641	3.249	0.000	0.000	0.000
104	61.471	58.406	2.706	0.000	0.000	0.000
105	60.217	56.419	3.602	0.000	0.000	0.000
106	59.845	56.586	2.823	0.000	0.000	0.000
107	60.534	56.836	3.674	0.000	0.000	0.000
108	60.334	57.672	2.446	0.000	0.000	0.000
109	61.103	58.292	2.473	0.000	0.000	0.000
