capture	mode	frames	wall_ms	wall_fps	gpu_main_render	gpu_volumetrics	gpu_volumetrics_inject	systems_ms	brd_ms	submit	sim_time_s	camera_pos	camera_forward	entities	draws	lights	tlas	state_hash	rt_tier	froxel_x	froxel_y	froxel_z	transport_armed
envelope/medtek_1	system-live	300	355.74	2.8	301.896	7.132	7.103	28.88	4.09	320.35	113.442047	-1536.000,120.014,-768.000	0.000000,0.000000,-1.000000	39560	14124/991b/39c	286	13038	32ccb95da2dd94a0	0	160	90	64	1
envelope/medtek_2	system-live	300	357.37	2.8	298.441	6.899	6.870	28.23	4.05	322.49	113.931610	-1536.000,120.014,-768.000	0.000000,0.000000,-1.000000	39560	14120/991b/39c	286	13038	582d5d682cc01313	0	160	90	64	1
envelope/medtek_3	system-live	300	357.89	2.8	297.515	5.740	5.707	27.50	4.13	323.34	114.018631	-1536.000,120.014,-768.000	0.000000,0.000000,-1.000000	39560	14120/991b/39c	286	13038	32c87ebbba6bdf00	0	160	90	64	1
ablation/all_off_1	renderer-static	90	61.59	16.2	20.034	0.394	0.366	13.63	4.52	41.41	0.000000	-1536.000,120.000,-768.000	0.000000,0.000000,-1.000000	39560	13948/988b/36c	286	13038	5550b70b11365888	0	107	60	64	0
ablation/all_off_2	renderer-static	90	60.75	16.5	17.895	0.394	0.366	13.43	4.25	40.68	0.000000	-1536.000,120.000,-768.000	0.000000,0.000000,-1.000000	39560	13948/988b/36c	286	13038	5550b70b11365888	0	107	60	64	0
ablation/baseline_1	renderer-static	90	73.98	13.5	29.980	0.392	0.365	14.02	4.75	53.03	0.000000	-1536.000,120.000,-768.000	0.000000,0.000000,-1.000000	39560	13948/988b/36c	286	13038	5550b70b11365888	0	107	60	64	0
ablation/baseline_2	renderer-static	90	72.32	13.8	27.827	0.392	0.365	13.54	4.27	52.98	0.000000	-1536.000,120.000,-768.000	0.000000,0.000000,-1.000000	39560	13948/988b/36c	286	13038	5550b70b11365888	0	107	60	64	0
ablation/direct_off_1	renderer-static	90	64.95	15.4	22.173	0.646	0.620	14.28	4.39	44.07	0.000000	-1536.000,120.000,-768.000	0.000000,0.000000,-1.000000	39560	13948/988b/36c	286	13038	5550b70b11365888	0	107	60	64	0
ablation/direct_off_2	renderer-static	90	66.72	15.0	21.202	0.393	0.366	14.99	4.64	44.42	0.000000	-1536.000,120.000,-768.000	0.000000,0.000000,-1.000000	39560	13948/988b/36c	286	13038	5550b70b11365888	0	107	60	64	0
ablation/reflection_off_1	renderer-static	90	71.13	14.1	29.083	0.393	0.366	14.27	4.11	50.62	0.000000	-1536.000,120.000,-768.000	0.000000,0.000000,-1.000000	39560	13948/988b/36c	286	13038	5550b70b11365888	0	107	60	64	0
ablation/reflection_off_2	renderer-static	90	70.63	14.2	29.287	0.391	0.365	14.00	4.20	50.27	0.000000	-1536.000,120.000,-768.000	0.000000,0.000000,-1.000000	39560	13948/988b/36c	286	13038	5550b70b11365888	0	107	60	64	0
live_ablation/all_off_1	system-live	90	94.53	10.6	35.173	5.045	5.016	29.01	4.15	61.53	15.665368	-1536.000,120.014,-768.000	0.000000,0.000000,-1.000000	39560	14136/991b/39c	286	13038	9a0c50f2e1917d42	0	160	90	64	1
live_ablation/baseline_1	system-live	90	357.94	2.8	297.152	6.303	6.270	30.91	4.62	322.77	39.073181	-1536.000,120.014,-768.000	0.000000,0.000000,-1.000000	39560	14124/991b/39c	286	13038	38b61216c3ebf4ab	0	160	90	64	1
live_ablation/direct_off_1	system-live	90	171.10	5.8	110.457	5.242	5.213	28.86	4.30	138.02	22.565048	-1536.000,120.014,-768.000	0.000000,0.000000,-1.000000	39560	14108/991b/39c	286	13038	6375a671021724fc	0	160	90	64	1
live_ablation/reflection_off_1	system-live	90	307.22	3.3	249.996	6.058	6.027	31.13	4.43	271.49	34.584496	-1536.000,120.014,-768.000	0.000000,0.000000,-1.000000	39560	14264/991b/39c	286	13038	1e53dd735bd5ba81	0	160	90	64	1
native_static/all_off_1	renderer-static	90	76.70	13.0	35.266	0.781	0.755	13.45	4.68	56.44	0.000000	-1536.000,120.000,-768.000	0.000000,0.000000,-1.000000	39560	13948/988b/36c	286	13038	5550b70b11365888	0	160	90	64	0
native_static/baseline_1	renderer-static	90	103.63	9.6	60.904	1.112	1.086	14.09	4.48	83.56	0.000000	-1536.000,120.000,-768.000	0.000000,0.000000,-1.000000	39560	13948/988b/36c	286	13038	5550b70b11365888	0	160	90	64	0
