capture	mode	frames	wall_ms	wall_fps	gpu_main_render	gpu_volumetrics	gpu_tlas_build	gpu_blas_refit	cpu_tlas_ms	systems_ms	brd_ms	sim_time_s	camera_pos	camera_forward	entities	draws	lights	tlas	state_hash	rt_tier	froxel_x	froxel_y	froxel_z
stepped/baseline/1	renderer-stepped	120	367.08	2.7	332.913	5.917	0.030	0.445	0.82	20.51	4.27	1.999999	-1536.000,120.000,-768.000	-0.258819,0.000000,-0.965926	39560	14268/1212b/81c	286	13038	cf6bfdee2e27ebd5	0	160	90	64
stepped/no_actor_direct/2	renderer-stepped	120	366.95	2.7	335.339	5.744	0.030	0.437	0.82	20.61	4.35	1.999999	-1536.000,120.000,-768.000	-0.258819,0.000000,-0.965926	39560	14268/1212b/81c	286	13038	cf6bfdee2e27ebd5	0	160	90	64
stepped/fresh_skinned/3	renderer-stepped	120	371.45	2.7	332.144	6.931	0.030	4.638	0.92	20.20	4.37	1.999999	-1536.000,120.000,-768.000	-0.258819,0.000000,-0.965926	39560	14268/1212b/81c	286	13038	cf6bfdee2e27ebd5	0	160	90	64
stepped/stable_tlas/4	renderer-stepped	120	112.80	8.9	65.926	1.245	0.030	0.436	1.04	20.59	4.48	1.999999	-1536.000,120.000,-768.000	-0.258819,0.000000,-0.965926	39560	14268/1212b/81c	286	13038	cf6bfdee2e27ebd5	0	160	90	64
stepped/fresh_tlas/5	renderer-stepped	120	112.84	8.9	67.333	1.147	0.161	0.441	0.85	20.39	4.57	1.999999	-1536.000,120.000,-768.000	-0.258819,0.000000,-0.965926	39560	14268/1212b/81c	286	13038	cf6bfdee2e27ebd5	0	160	90	64
stepped_images/baseline/1	renderer-stepped	122	367.81	2.7	335.752	6.441	0.029	0.442	0.90	20.70	4.58	2.033332	-1536.000,120.000,-768.000	-0.258819,0.000000,-0.965926	39560	14268/1212b/81c	286	13038	4f44c7f913e10dd9	0	160	90	64
stepped_images/stable_tlas/2	renderer-stepped	122	114.96	8.7	64.908	0.897	0.030	0.443	1.07	21.84	4.55	2.033332	-1536.000,120.000,-768.000	-0.258819,0.000000,-0.965926	39560	14268/1212b/81c	286	13038	4f44c7f913e10dd9	0	160	90	64
stepped_production/fixed/1	renderer-stepped	120	112.86	8.9	67.075	1.870	0.030	0.438	1.10	20.73	4.39	1.999999	-1536.000,120.000,-768.000	-0.258819,0.000000,-0.965926	39560	14268/1212b/81c	286	13038	cf6bfdee2e27ebd5	0	160	90	64
stepped_production/baseline/2	renderer-stepped	120	365.74	2.7	331.950	5.517	0.030	0.443	0.81	20.32	4.18	1.999999	-1536.000,120.000,-768.000	-0.258819,0.000000,-0.965926	39560	14268/1212b/81c	286	13038	cf6bfdee2e27ebd5	0	160	90	64
stepped_production/fixed/3	renderer-stepped	120	113.38	8.8	65.995	0.880	0.030	0.441	1.16	20.56	4.70	1.999999	-1536.000,120.000,-768.000	-0.258819,0.000000,-0.965926	39560	14268/1212b/81c	286	13038	cf6bfdee2e27ebd5	0	160	90	64
stepped_validation/fixed/1	renderer-stepped	122	115.51	8.7	68.010	1.228	0.036	0.437	1.87	19.34	4.37	2.033332	-1536.000,120.000,-768.000	-0.258819,0.000000,-0.965926	39560	14268/1212b/81c	286	13038	4f44c7f913e10dd9	0	160	90	64
stepped_quality/fixed/1	renderer-stepped	120	81.82	12.2	34.438	0.437	0.030	0.439	1.10	20.97	4.36	1.999999	-1536.000,120.000,-768.000	-0.258819,0.000000,-0.965926	39560	14268/1212b/81c	286	13038	cf6bfdee2e27ebd5	0	107	60	64
stepped_exterior/fixed/1	renderer-stepped	176	198.09	5.0	1.626	0.050	0.037	0.695	1.76	143.46	5.14	2.933331	14336.000,964.000,-1848.000	0.000000,-0.447214,-0.894427	102805	20096/493b/12c	27	19900	32f991c79de66d7e	0	40	23	64
