capture	main_readback_mean_ms	main_readback_count	gpu_main_render	wall_ms	state_hash	draws	lights	rt_tier
kendall-early-1	17.139680	178	16.147	67.44	81ddac243a471e2b	15900/420b/24c	214	0
kendall-early-2	17.578056	178	12.571	68.60	81ddac243a471e2b	15900/420b/24c	214	0
kendall-early-3	17.874893	178	17.683	66.33	81ddac243a471e2b	15900/420b/24c	214	0
kendall-late-1	23.836382	178	20.265	76.35	81ddac243a471e2b	15900/420b/24c	214	0
kendall-late-2	23.494837	178	19.596	73.10	81ddac243a471e2b	15900/420b/24c	214	0
kendall-late-3	23.418084	178	20.110	72.00	81ddac243a471e2b	15900/420b/24c	214	0
kendall-raw	15.087404	178	12.063	64.29	81ddac243a471e2b	15900/420b/24c	214	0
kendall-validate	18.676579	178	22.680	71.35	81ddac243a471e2b	15900/420b/24c	214	0
medtek-early-1	44.786388	178	45.092	83.86	92b7960742fa16e1	14268/1342b/86c	286	0
medtek-early-2	44.856157	178	45.472	84.48	92b7960742fa16e1	14268/1342b/86c	286	0
medtek-early-3	40.783208	178	41.165	77.80	92b7960742fa16e1	14268/1342b/86c	286	0
medtek-late-1	64.586534	178	68.239	103.28	92b7960742fa16e1	14268/1342b/86c	286	0
medtek-late-2	64.153528	178	67.541	101.26	92b7960742fa16e1	14268/1342b/86c	286	0
medtek-late-3	59.589275	178	63.490	96.17	92b7960742fa16e1	14268/1342b/86c	286	0
metrics-early	15.721084	178	14.757	65.88	81ddac243a471e2b	15900/420b/24c	214	0
remap-early	17.501163	178	17.776	66.58	81ddac243a471e2b	15900/420b/24c	214	0
