# harness=1293dfc0 engine=2da754e7 mode=renderer-stepped camera=orbit runs=3 frames=300
scene	config	run	mode	camera	wall_fps	wall_ms	fence_ms	brd_ms	gpu_main	gpu_svgf	gpu_composite	gpu_ssao	gpu_volumetrics	gpu_upscale	gpu_presentation	gpu_bloom	sim_time_s	entities	draws	lights	tlas	state_hash	gpu_inactive
cornell	taa	1	renderer-stepped	orbit	99.9	10.01	9.13	0.02	8.578	0.437	0.038	0.066	0.231	0.012	0.011	0.038	5.000010	37	32/11b/3c	2	31	8171a33f7c5b3d96	skin_disp,blas_refit,skin_palette,depth_history_copy
cornell	taa	2	renderer-stepped	orbit	75.9	13.18	12.44	0.03	8.275	0.436	0.039	0.067	0.233	0.013	0.011	0.039	5.000010	37	32/11b/3c	2	31	8171a33f7c5b3d96	skin_disp,blas_refit,skin_palette,depth_history_copy
cornell	taa	3	renderer-stepped	orbit	104.4	9.58	8.74	0.02	8.192	0.436	0.038	0.066	0.230	0.013	0.012	0.038	5.000010	37	32/11b/3c	2	31	8171a33f7c5b3d96	skin_disp,blas_refit,skin_palette,depth_history_copy
cornell	fsr-native-aa	1	renderer-stepped	orbit	87.1	11.49	10.33	0.03	8.336	0.474	0.042	0.069	0.236	0.439	0.013	0.038	5.000010	37	32/11b/3c	2	31	8171a33f7c5b3d96	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-native-aa	2	renderer-stepped	orbit	101.1	9.89	9.23	0.02	7.655	0.435	0.040	0.067	0.233	0.857	0.016	0.040	5.000010	37	32/11b/3c	2	31	8171a33f7c5b3d96	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-native-aa	3	renderer-stepped	orbit	83.7	11.95	11.25	0.02	8.437	0.470	0.040	0.068	0.233	0.471	0.015	0.039	5.000010	37	32/11b/3c	2	31	8171a33f7c5b3d96	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-quality	1	renderer-stepped	orbit	137.9	7.25	6.66	0.02	7.446	0.278	0.022	0.035	0.124	0.170	0.013	0.033	5.000010	37	32/11b/3c	2	31	8171a33f7c5b3d96	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-quality	2	renderer-stepped	orbit	132.9	7.53	6.79	0.02	7.276	0.209	0.019	0.033	0.121	0.172	0.014	0.036	5.000010	37	32/11b/3c	2	31	8171a33f7c5b3d96	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-quality	3	renderer-stepped	orbit	133.8	7.47	6.78	0.02	6.919	0.208	0.020	0.033	0.122	0.173	0.012	0.033	5.000010	37	32/11b/3c	2	31	8171a33f7c5b3d96	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-balanced	1	renderer-stepped	orbit	163.4	6.12	5.45	0.02	6.292	0.208	0.018	0.028	0.126	0.169	0.012	0.031	5.000010	37	32/11b/3c	2	31	8171a33f7c5b3d96	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-balanced	2	renderer-stepped	orbit	156.9	6.37	5.41	0.02	6.463	0.168	0.017	0.028	0.101	0.164	0.012	0.030	5.000010	37	32/11b/3c	2	31	8171a33f7c5b3d96	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-balanced	3	renderer-stepped	orbit	164.0	6.10	5.43	0.03	5.730	0.170	0.019	0.029	0.101	0.164	0.012	0.031	5.000010	37	32/11b/3c	2	31	8171a33f7c5b3d96	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-performance	1	renderer-stepped	orbit	202.7	4.93	4.35	0.02	4.809	0.132	0.014	0.022	0.078	0.156	0.013	0.029	5.000010	37	32/11b/3c	2	31	8171a33f7c5b3d96	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-performance	2	renderer-stepped	orbit	197.9	5.05	3.95	0.02	4.821	0.132	0.014	0.022	0.077	0.155	0.013	0.035	5.000010	37	32/11b/3c	2	31	8171a33f7c5b3d96	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-performance	3	renderer-stepped	orbit	192.9	5.18	4.01	0.02	4.959	0.165	0.014	0.023	0.078	0.157	0.014	0.029	5.000010	37	32/11b/3c	2	31	8171a33f7c5b3d96	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
prospector	taa	1	renderer-stepped	orbit	58.3	17.17	14.18	0.31	17.851	0.414	0.041	0.061	0.258	0.015	0.012	0.039	5.000010	3146	928/54b/6c	25	928	2064b9dfdf720227	depth_history_copy
