# harness=4de5e78e engine=34074b93 mode=renderer-stepped camera=orbit runs=3 frames=300
scene	config	run	mode	camera	wall_fps	wall_ms	fence_ms	brd_ms	gpu_main	gpu_svgf	gpu_composite	gpu_ssao	gpu_volumetrics	gpu_upscale	gpu_presentation	gpu_bloom	sim_time_s	entities	draws	lights	tlas	state_hash
cornell	taa	1	renderer-stepped	orbit	175.7	5.69	5.29	0.02	4.201	0.431	0.023	0.067	0.129	0.012	0.011	0.029	5.000010	37	32/11b/11c	2	31	ba5cdfab2636d065
cornell	taa	2	renderer-stepped	orbit	175.0	5.71	5.34	0.02	4.588	0.434	0.024	0.067	0.128	0.012	0.011	0.034	5.000010	37	32/11b/11c	2	31	ba5cdfab2636d065
cornell	taa	3	renderer-stepped	orbit	181.7	5.50	5.16	0.01	4.212	0.432	0.023	0.067	0.127	0.012	0.011	0.029	5.000010	37	32/11b/11c	2	31	ba5cdfab2636d065
cornell	fsr-native-aa	1	renderer-stepped	orbit	167.0	5.99	5.50	0.01	4.485	0.469	0.026	0.068	0.131	0.229	0.012	0.036	5.000010	37	32/11b/11c	2	31	ba5cdfab2636d065
cornell	fsr-native-aa	2	renderer-stepped	orbit	172.6	5.79	5.33	0.02	4.622	0.435	0.024	0.066	0.130	0.230	0.013	0.040	5.000010	37	32/11b/11c	2	31	ba5cdfab2636d065
cornell	fsr-native-aa	3	renderer-stepped	orbit	160.4	6.23	5.60	0.02	4.487	0.474	0.025	0.109	0.132	0.229	0.013	0.035	5.000010	37	32/11b/11c	2	31	ba5cdfab2636d065
cornell	fsr-quality	1	renderer-stepped	orbit	277.6	3.60	3.13	0.02	2.700	0.210	0.013	0.033	0.083	0.171	0.012	0.028	5.000010	37	32/11b/11c	2	31	ba5cdfab2636d065
cornell	fsr-quality	2	renderer-stepped	orbit	280.5	3.56	3.12	0.01	2.941	0.207	0.014	0.033	0.084	0.174	0.013	0.028	5.000010	37	32/11b/11c	2	31	ba5cdfab2636d065
cornell	fsr-quality	3	renderer-stepped	orbit	272.3	3.67	3.20	0.01	2.737	0.209	0.014	0.033	0.084	0.172	0.012	0.027	5.000010	37	32/11b/11c	2	31	ba5cdfab2636d065
cornell	fsr-balanced	1	renderer-stepped	orbit	322.5	3.10	2.73	0.01	2.276	0.169	0.013	0.027	0.076	0.165	0.013	0.027	5.000010	37	32/11b/11c	2	31	ba5cdfab2636d065
cornell	fsr-balanced	2	renderer-stepped	orbit	315.2	3.17	2.71	0.02	2.527	0.168	0.013	0.027	0.076	0.167	0.011	0.027	5.000010	37	32/11b/11c	2	31	ba5cdfab2636d065
cornell	fsr-balanced	3	renderer-stepped	orbit	324.9	3.08	2.68	0.01	2.374	0.168	0.012	0.028	0.076	0.165	0.013	0.026	5.000010	37	32/11b/11c	2	31	ba5cdfab2636d065
cornell	fsr-performance	1	renderer-stepped	orbit	390.3	2.56	2.13	0.01	1.911	0.131	0.011	0.022	0.067	0.156	0.013	0.026	5.000010	37	32/11b/11c	2	31	ba5cdfab2636d065
cornell	fsr-performance	2	renderer-stepped	orbit	380.4	2.63	2.16	0.01	1.542	0.130	0.010	0.022	0.068	0.156	0.013	0.026	5.000010	37	32/11b/11c	2	31	ba5cdfab2636d065
cornell	fsr-performance	3	renderer-stepped	orbit	388.6	2.57	2.19	0.01	1.979	0.131	0.010	0.022	0.068	0.158	0.013	0.025	5.000010	37	32/11b/11c	2	31	ba5cdfab2636d065
prospector	taa	1	renderer-stepped	orbit	70.6	14.16	11.56	0.30	12.019	0.410	0.027	0.015	0.188	0.013	0.011	0.029	5.000010	3757	1214/54b/6c	25	1214	a484ea92f8f77a54
