# harness=1293dfc0 engine=4c9a5b36 mode=renderer-stepped camera=orbit runs=3 frames=300
scene	config	run	mode	camera	wall_fps	wall_ms	fence_ms	brd_ms	gpu_main	gpu_svgf	gpu_composite	gpu_ssao	gpu_volumetrics	gpu_upscale	gpu_presentation	gpu_bloom	sim_time_s	entities	draws	lights	tlas	state_hash	gpu_inactive
cornell	taa	1	renderer-stepped	orbit	107.8	9.28	8.89	0.02	8.626	0.435	0.039	0.066	0.230	0.013	0.012	0.039	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,skin_palette,depth_history_copy
cornell	taa	2	renderer-stepped	orbit	108.7	9.20	8.65	0.02	7.724	0.465	0.039	0.066	0.230	0.012	0.011	0.041	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,skin_palette,depth_history_copy
cornell	taa	3	renderer-stepped	orbit	110.3	9.06	8.55	0.02	7.754	0.435	0.039	0.066	0.231	0.013	0.012	0.041	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,skin_palette,depth_history_copy
cornell	fsr-native-aa	1	renderer-stepped	orbit	100.8	9.92	9.25	0.02	8.150	0.436	0.041	0.067	0.233	0.498	0.016	0.039	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-native-aa	2	renderer-stepped	orbit	102.0	9.80	9.18	0.02	8.404	0.435	0.041	0.067	0.233	0.229	0.013	0.040	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-native-aa	3	renderer-stepped	orbit	101.6	9.84	9.24	0.02	7.839	0.437	0.041	0.066	0.231	0.979	0.016	0.039	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-quality	1	renderer-stepped	orbit	150.1	6.66	6.15	0.02	6.871	0.208	0.020	0.034	0.122	0.170	0.012	0.033	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-quality	2	renderer-stepped	orbit	150.4	6.65	6.14	0.02	7.150	0.209	0.020	0.033	0.148	0.180	0.012	0.035	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-quality	3	renderer-stepped	orbit	149.1	6.71	6.17	0.02	7.068	0.207	0.022	0.033	0.121	0.170	0.012	0.032	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-balanced	1	renderer-stepped	orbit	178.1	5.61	5.16	0.02	5.648	0.167	0.018	0.027	0.098	0.164	0.012	0.031	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-balanced	2	renderer-stepped	orbit	171.5	5.83	5.33	0.02	5.615	0.168	0.019	0.029	0.100	0.164	0.012	0.031	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-balanced	3	renderer-stepped	orbit	165.5	6.04	5.53	0.02	6.019	0.168	0.019	0.029	0.103	0.166	0.014	0.032	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-performance	1	renderer-stepped	orbit	223.1	4.48	4.07	0.02	4.569	0.131	0.014	0.022	0.081	0.156	0.013	0.029	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-performance	2	renderer-stepped	orbit	209.2	4.78	4.26	0.02	4.351	0.131	0.015	0.022	0.077	0.154	0.012	0.030	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
cornell	fsr-performance	3	renderer-stepped	orbit	219.8	4.55	4.10	0.02	4.675	0.132	0.015	0.022	0.099	0.157	0.012	0.030	5.000010	37	32/11b/3c	2	31	2d958f43de5d2d46	skin_disp,blas_refit,taa,skin_palette,depth_history_copy
prospector	taa	1	renderer-stepped	orbit	85.1	11.75	9.44	0.26	7.723	0.413	0.041	0.062	0.260	0.013	0.011	0.039	5.000010	3146	928/54b/6c	25	928	dbdb702d07ade18b	depth_history_copy
