# harness=1293dfc0e engine=cb44d99f6 mode=renderer-stepped camera=orbit runs=3 frames=300
scene	config	run	mode	camera	wall_fps	wall_ms	fence_ms	brd_ms	gpu_main	gpu_svgf	gpu_composite	gpu_ssao	gpu_volumetrics	gpu_upscale	gpu_presentation	gpu_bloom	sim_time_s	entities	draws	lights	tlas	state_hash	gpu_inactive
cornell	taa	1	renderer-stepped	orbit	85.9	11.65	11.10	0.02	10.482	0.473	0.046	0.069	0.236	0.013	0.012	0.038	5.000010	37	32/11b/3c	2	31	7ee84405f042a3a5	skin_disp,blas_refit,skin_palette,depth_history_copy,groundcover_scatter
cornell	taa	2	renderer-stepped	orbit	85.5	11.70	11.13	0.02	10.571	0.439	0.046	0.069	0.235	0.014	0.012	0.038	5.000010	37	32/11b/3c	2	31	7ee84405f042a3a5	skin_disp,blas_refit,skin_palette,depth_history_copy,groundcover_scatter
cornell	taa	3	renderer-stepped	orbit	85.5	11.69	11.12	0.02	10.292	0.438	0.046	0.069	0.236	0.013	0.013	0.042	5.000010	37	32/11b/3c	2	31	7ee84405f042a3a5	skin_disp,blas_refit,skin_palette,depth_history_copy,groundcover_scatter
cornell	fsr-native-aa	1	renderer-stepped	orbit	82.2	12.17	11.42	0.02	10.465	0.438	0.046	0.069	0.237	0.355	0.016	0.039	5.000010	37	32/11b/3c	2	31	7ee84405f042a3a5	skin_disp,blas_refit,taa,skin_palette,depth_history_copy,groundcover_scatter
cornell	fsr-native-aa	2	renderer-stepped	orbit	81.9	12.21	11.47	0.02	10.469	0.440	0.046	0.069	0.235	0.445	0.017	0.040	5.000010	37	32/11b/3c	2	31	7ee84405f042a3a5	skin_disp,blas_refit,taa,skin_palette,depth_history_copy,groundcover_scatter
cornell	fsr-native-aa	3	renderer-stepped	orbit	82.7	12.09	11.53	0.02	10.616	0.475	0.047	0.070	0.236	0.349	0.015	0.039	5.000010	37	32/11b/3c	2	31	7ee84405f042a3a5	skin_disp,blas_refit,taa,skin_palette,depth_history_copy,groundcover_scatter
cornell	fsr-quality	1	renderer-stepped	orbit	121.9	8.21	7.68	0.02	7.654	0.245	0.024	0.034	0.121	0.171	0.014	0.032	5.000010	37	32/11b/3c	2	31	7ee84405f042a3a5	skin_disp,blas_refit,taa,skin_palette,depth_history_copy,groundcover_scatter
cornell	fsr-quality	2	renderer-stepped	orbit	119.8	8.35	7.66	0.02	7.826	0.210	0.024	0.034	0.122	0.178	0.014	0.032	5.000010	37	32/11b/3c	2	31	7ee84405f042a3a5	skin_disp,blas_refit,taa,skin_palette,depth_history_copy,groundcover_scatter
cornell	fsr-quality	3	renderer-stepped	orbit	120.2	8.32	7.64	0.02	7.881	0.212	0.024	0.035	0.121	0.170	0.013	0.036	5.000010	37	32/11b/3c	2	31	7ee84405f042a3a5	skin_disp,blas_refit,taa,skin_palette,depth_history_copy,groundcover_scatter
cornell	fsr-balanced	1	renderer-stepped	orbit	134.7	7.43	6.84	0.02	7.523	0.169	0.022	0.029	0.104	0.162	0.013	0.031	5.000010	37	32/11b/3c	2	31	7ee84405f042a3a5	skin_disp,blas_refit,taa,skin_palette,depth_history_copy,groundcover_scatter
cornell	fsr-balanced	2	renderer-stepped	orbit	131.2	7.62	6.99	0.02	8.053	0.170	0.023	0.030	0.102	0.163	0.013	0.036	5.000010	37	32/11b/3c	2	31	7ee84405f042a3a5	skin_disp,blas_refit,taa,skin_palette,depth_history_copy,groundcover_scatter
cornell	fsr-balanced	3	renderer-stepped	orbit	133.2	7.51	6.92	0.02	7.695	0.171	0.022	0.030	0.104	0.162	0.014	0.031	5.000010	37	32/11b/3c	2	31	7ee84405f042a3a5	skin_disp,blas_refit,taa,skin_palette,depth_history_copy,groundcover_scatter
cornell	fsr-performance	1	renderer-stepped	orbit	162.7	6.15	5.51	0.02	6.003	0.133	0.016	0.022	0.079	0.152	0.013	0.030	5.000010	37	32/11b/3c	2	31	7ee84405f042a3a5	skin_disp,blas_refit,taa,skin_palette,depth_history_copy,groundcover_scatter
cornell	fsr-performance	2	renderer-stepped	orbit	171.8	5.82	5.20	0.02	5.540	0.131	0.015	0.022	0.083	0.152	0.014	0.029	5.000010	37	32/11b/3c	2	31	7ee84405f042a3a5	skin_disp,blas_refit,taa,skin_palette,depth_history_copy,groundcover_scatter
cornell	fsr-performance	3	renderer-stepped	orbit	163.4	6.12	5.54	0.02	6.158	0.135	0.042	0.028	0.079	0.153	0.014	0.031	5.000010	37	32/11b/3c	2	31	7ee84405f042a3a5	skin_disp,blas_refit,taa,skin_palette,depth_history_copy,groundcover_scatter
prospector	taa	1	renderer-stepped	orbit	84.6	11.82	9.53	0.21	8.626	0.408	0.044	0.064	0.262	0.012	0.012	0.039	5.000010	3149	928/54b/6c	25	928	f6334e798a915d7a	depth_history_copy,groundcover_scatter
prospector	taa	2	renderer-stepped	orbit	83.2	12.02	9.52	0.22	8.457	0.406	0.044	0.062	0.259	0.012	0.012	0.039	5.000010	3149	928/54b/6c	25	928	f6334e798a915d7a	depth_history_copy,groundcover_scatter
prospector	taa	3	renderer-stepped	orbit	83.5	11.98	9.39	0.23	8.867	0.406	0.045	0.064	0.263	0.013	0.013	0.039	5.000010	3149	928/54b/6c	25	928	f6334e798a915d7a	depth_history_copy,groundcover_scatter
prospector	fsr-native-aa	1	renderer-stepped	orbit	79.9	12.51	9.78	0.24	8.762	0.409	0.044	0.062	0.260	0.431	0.015	0.039	5.000010	3149	928/54b/6c	25	928	f6334e798a915d7a	taa,depth_history_copy,groundcover_scatter
prospector	fsr-native-aa	2	renderer-stepped	orbit	81.2	12.31	9.58	0.23	8.613	0.483	0.046	0.063	0.261	0.345	0.014	0.039	5.000010	3149	928/54b/6c	25	928	f6334e798a915d7a	taa,depth_history_copy,groundcover_scatter
prospector	fsr-native-aa	3	renderer-stepped	orbit	80.3	12.45	9.90	0.22	8.846	0.408	0.043	0.063	0.260	0.564	0.016	0.039	5.000010	3149	928/54b/6c	25	928	f6334e798a915d7a	taa,depth_history_copy,groundcover_scatter
prospector	fsr-quality	1	renderer-stepped	orbit	89.2	11.21	8.67	0.22	8.536	0.197	0.025	0.032	0.154	0.169	0.013	0.032	5.000010	3149	928/54b/6c	25	928	f6334e798a915d7a	taa,depth_history_copy,groundcover_scatter
prospector	fsr-quality	2	renderer-stepped	orbit	88.5	11.30	8.74	0.22	8.506	0.197	0.025	0.055	0.177	0.169	0.013	0.033	5.000010	3149	928/54b/6c	25	928	f6334e798a915d7a	taa,depth_history_copy,groundcover_scatter
prospector	fsr-quality	3	renderer-stepped	orbit	88.8	11.27	8.71	0.22	8.301	0.197	0.025	0.032	0.155	0.169	0.013	0.032	5.000010	3149	928/54b/6c	25	928	f6334e798a915d7a	taa,depth_history_copy,groundcover_scatter
prospector	fsr-balanced	1	renderer-stepped	orbit	97.5	10.25	7.64	0.22	8.440	0.186	0.019	0.026	0.125	0.161	0.013	0.032	5.000010	3149	928/54b/6c	25	928	f6334e798a915d7a	taa,depth_history_copy,groundcover_scatter
prospector	fsr-balanced	2	renderer-stepped	orbit	98.8	10.12	7.66	0.22	8.162	0.159	0.020	0.026	0.121	0.162	0.014	0.031	5.000010	3149	928/54b/6c	25	928	f6334e798a915d7a	taa,depth_history_copy,groundcover_scatter
prospector	fsr-balanced	3	renderer-stepped	orbit	97.4	10.26	7.76	0.21	8.359	0.160	0.020	0.027	0.122	0.162	0.013	0.062	5.000010	3149	928/54b/6c	25	928	f6334e798a915d7a	taa,depth_history_copy,groundcover_scatter
