cell	inputs	wall_ms	extract_ms	parse_task_sum_ms	backpressure_ms	peak_task_input_bytes	largest_input_bytes	peak_tasks
(0,0)	398	62.303	61.362	30.755	0.038	657861	568552	4
(-1,-1)	185	39.158	38.707	12.738	0.016	603357	569457	3
(-1,0)	161	28.544	27.258	15.487	0.009	768881	726632	5
(-1,1)	167	42.586	42.231	26.177	0.005	572147	557886	4
(0,-1)	153	42.073	41.771	21.726	0.016	687677	579361	3
(0,1)	139	20.936	20.632	10.269	0.025	584107	559873	4
(1,-1)	47	10.672	10.529	4.159	0.009	221730	202105	4
(1,0)	163	21.490	21.172	10.814	0.011	490788	451764	4
(1,1)	61	11.105	10.960	6.598	0.003	283553	244078	3
(2,-1)	64	22.587	22.458	6.514	0.003	878366	796727	3
(2,0)	18	7.571	7.494	1.387	0.001	394787	353549	3
(2,1)	38	9.427	9.340	2.825	0.001	1008878	991936	3
(3,-1)	232	34.915	34.196	9.356	0.007	502883	483503	3
(3,0)	97	14.697	14.569	3.438	0.003	440111	423228	2
(3,1)	36	7.980	7.879	2.309	0.001	296579	279121	2
(4,-1)	108	14.184	13.847	5.234	0.004	483448	453036	4
(4,0)	95	13.395	13.244	3.905	0.004	298741	253896	3
(4,1)	29	12.056	11.959	3.067	0.001	865116	850606	2
